99,20781.05,
99,13624.62,右支气管肺癌
99,4289.09,胫骨骨折
99,3584.02,头晕和眩晕
99,3507.21,早期胃癌
99,3450.66,原发性高血压
99,3448.21,上呼吸道感染
99,2513.22,慢性支气管炎急性发作
99,2199.85,冠状动脉供血不足
99,2103.57,脑动脉硬化
99,1309.77,尿道结石
99,1172.89,头痛
99,1038.57,眩晕
99,812.52,脑血管供血不足
99,317.35,冠心病心律失常型
27,462.52,
16,11077674.92,恶性肿瘤放（化）治疗
16,9489864.16,冠状动脉粥样硬化性心脏病
16,8496322.17,腰椎间盘突出
16,8071401.99,脑梗死
16,7968441.18,肺部感染
16,6565503.48,高血压病
16,5756631.01,慢性阻塞性肺病伴急性加重
16,5523375.45,慢性阻塞性肺病
16,4644370.64,冠心病
16,4540555.28,肺恶性肿瘤
16,4351354.52,糖尿病
16,3826466.95,神经根型颈椎病
16,3496267.47,2型糖尿病
16,3223734.19,关节炎
16,3181927.84,冠心病心律失常型
16,3096313.05,急性支气管炎
16,2937564.99,胆囊结石
16,2664850.85,慢性支气管炎
16,2623490.30,骨质疏松
16,2618963.83,肺炎
16,2568347.46,后循环缺血
16,2515894.64,腰椎椎管狭窄
16,2506790.75,混合型颈椎病
16,2425584.99,混合痔
16,2409888.91,乳腺恶性肿瘤
16,2344719.29,充血性心力衰竭
16,2336525.12,慢性肾衰竭
16,2138931.54,多发性脑梗死
16,2091762.70,高血压3级
16,2014772.07,白内障
16,1996405.00,带状疱疹
16,1971500.63,2型糖尿病伴多并发症
16,1904394.57,慢性胃炎
16,1867969.32,直肠恶性肿瘤
16,1804964.32,腹痛
16,1772662.88,股骨骨折
16,1690945.14,高血压脑出血
16,1673506.64,急性胰腺炎
16,1648661.49,骨折
16,1566272.63,前列腺增生
16,1531274.66,脑出血
16,1519666.34,肺癌病
16,1462081.46,慢性支气管炎伴肺气肿
16,1457260.08,腔隙性脑梗死
16,1383909.99,肝恶性肿瘤
16,1344169.64,输尿管结石
16,1306990.63,腰椎骨折
16,1254535.95,结肠息肉
16,1236014.81,头晕和眩晕
16,1222646.74,急性心肌梗死
16,1169606.66,膝关节病
16,1138006.51,肝癌病
16,1045775.01,结肠恶性肿瘤
16,1040463.52,痛风性关节炎
16,1039252.16,
16,1007572.85,老年性白内障
16,996258.13,颈椎间盘突出
16,974613.74,肺气肿
16,970370.31,急性上呼吸道感染
16,966538.43,脑动脉供血不足
16,964845.64,脑血管意外
16,934740.72,高血压性心脏病
16,917537.84,食管恶性肿瘤
16,917531.41,骨质疏松伴病理性骨折
16,888914.01,前列腺恶性肿瘤
16,876681.31,急性阑尾炎
16,864467.75,肾结石
16,841609.84,肝硬化
16,833917.12,高血压2级
16,831423.13,支气管炎
16,827222.38,脑梗死后遗症
16,807138.73,胃肠炎
16,800764.72,类风湿性关节炎
16,779204.67,眩晕病
16,774232.05,腰痛
16,773582.07,肩周炎
16,765180.71,股骨颈骨折
16,762840.97,肱骨骨折
16,748266.39,血管性头痛
16,734402.91,风湿性心脏病
16,729397.59,肛周脓肿
16,722938.86,宫颈恶性肿瘤
16,713507.64,腹股沟疝
16,702318.95,胸椎骨折
16,701793.62,肺肿瘤
16,700737.68,桡骨骨折
16,691421.52,支气管哮喘，非危重
16,686364.42,急性冠脉综合征
16,672191.30,腰椎退行性病变
16,671609.69,胃恶性肿瘤
16,655216.29,肠梗阻
16,652979.33,泌尿道感染
16,641119.52,慢性心力衰竭
16,639699.00,眩晕综合征
16,637305.52,肾功能衰竭的透析治疗
16,625640.90,呼吸衰竭
16,618171.93,肾恶性肿瘤
16,605748.51,全身性骨关节炎
16,604126.23,脊椎病
16,603020.45,心悸
16,600901.64,椎动脉型颈椎病
16,594652.20,胃息肉
16,587702.83,慢性鼻窦炎
16,586820.00,消化道出血
16,574266.84,骨质增生
16,564580.77,神经根型腰椎病
16,559377.31,胃炎
16,557726.70,大面积脑梗死
16,550683.34,动脉瘤
